id,id_str,screen_name,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,description,std_deviation_friends,std_deviation_followers,bot
4303727112,4303727112,mattlieberisbot,88621120.44,1,0,1.130926798,1,3.558718861,0,0,Retired   Inspired by the smart  funny folks at  replyall and  gimletmedia   A bot by  ashur,0,2.19E+17,1
3063139353,3063139353,sc_papers,111771716.4,1,0,1.297873959,1,2.577319588,0,0,,0,4.01E+17,1
545449655,545449655,DeportMalkin,203240871.4,2.024242424,0.8140882239,1.357380522,0.6693386774,4.032258065,0.543,0.653,LET S GO FLYERS AND EAGLES,6.53E+16,1.31E+17,0
9624742,9624742,StateDept,343663636.5,11403.36689,0.006033806838,14.2211799,0.9999123143,10.86956522,0.908,1.689,Welcome to the official U S  Department of State Twitter account  Follow  SecPompeo for more from the Secretary of State,1.87E+17,4.85E+17,0
4180417402,4180417402,ahouseofdust,89261930.12,4.761904762,0.01258319194,23.22954027,0.826446281,23.80952381,0,0,A poetry project created by Alison Knowles and James Tenney and the Siemens      computer in       Twitter version by  hugovk and SSBot for  D   x in,2.93E+17,3.46E+17,1
436266454,436266454,"""TwitterMovies""",212916038.8,21518.15244,0.9759339932,2.987047868,0.9999535298,4.694835681,0.654,1.347,Tweets  Camera  Action,2.01E+17,4.90E+17,1
3730217123,3730217123,gitamonte,93886714.74,0.7884615385,0.9285403185,1.426399895,0.4408602151,3.311258278,0.011,0.303,ariana com ascendente em cerveja com a lua no bar mais pr ximo,2.14E+17,3.62E+17,0
18222378,18222378,50cent,307111286.3,3261042.667,0.01913052455,3.872805895,0.9999996933,2.257336343,0.689,0.812,It s the kid    Cent   G Unit     Official  Get The Strap  Merch,416520295.1,4.94E+17,0
461429820,461429820,RobertVinluan,210427955.2,1.25,2.237314902,1.978642047,0.5555555556,3.115264798,0.043,1.104,Designing Crosswords   new stuff  nytimes   Playing an unhealthy amount of board games  probably    Karaoke Disney Prince   also   ramsophone     birds,1.22E+17,2.36E+17,0
2941922172,2941922172,official_barak,117317756.6,6762.857143,0.03755953171,0.2489239552,0.9998521554,7.659090909,0.46884273,0.9554896142,Ex President of USA BarakObama Official,3.71E+17,4.66E+17,0
974604422,974604422,ReadtoGrowCT,182700471.6,0.6108923885,0.04492599242,0.5452596764,0.3792260692,1.949317739,1.111,0.667,Read to Grow promotes language building and literacy for children  beginning at birth  and supports parents as their babies  first teachers,2.80E+16,2.66E+17,0
17959736,17959736,TimWestwood,308018979.8,23.35806356,0.494244868,14.51683011,0.9589458334,19.23076923,0.082,1.039,snapchat   TimWestwoodTV https   t co wTW YdiNk  https   t co RuR dPL gB https   t co CHKxIi  Zf,1.34E+17,4.60E+17,0
